# Number of Traces
12456
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 1; 5.6733207592100776e-01; 1.1092289392421164e+00; 3.2965509483728900e-01; 8.9849462947582415e-01; 3.1934303222369642e-01; 1.1151029967997411e-01
0; 0; 1; 9.8134449871332596e-01; 4.5934928965881405e-01; 1.1151029967997411e-01; 1.1012401712282536e+00; 2.5108993753533615e-01; 6.0034976724476607e-01
1; 0; 2; 3.9365268777434581e-01; 3.0629049500159433e-01; 7.1575364390421525e-01; 5.9310773535710282e-01; 6.4334539919889577e-01; 7.1575364390421525e-01
1; 0; 2; 5.9919848798089936e-01; 4.4861037629613620e-01; 7.1575364390421525e-01; -3.8051775928063947e-270; 5.5781954320183857e-01; 5.8371262294010717e-01
2; 0; 3; 5.5846639406212895e-01; 5.8480572265048003e-01; 7.1575364390421525e-01; 7.4026825246683736e-01; 8.2831238194012918e-02; 1.3371559377051778e-01
2; 0; 3; 7.6987403114504049e-01; 1.0198977907930365e-01; 1.1151029967997411e-01; 1.2817288161891542e+00; 1.0528445077717390e+00; 1.7328337272726863e-01
3; 0; 4; 7.0233409448763873e-01; 8.2792473403517031e-01; 7.1575364390421514e-01; 8.5611285094831790e-01; 7.5404885836031754e-01; 7.1575364390421525e-01
3; 0; 4; 8.7544039008686936e-01; 2.2645602897413819e-01; 5.3203220859315403e-01; 0.0000000000000000e+00; 0.0000000000000000e+00; 0.0000000000000000e+00
4; 0; 7; 5.5303207055767578e-01; 1.6288645724641743e-01; 3.5573383782599266e-01; 9.3036360069450319e-01; 3.7319773869093475e-01; 1.1151029967997411e-01
5; 0; 8; 8.0287046728717060e-01; 1.5774976488825398e-01; 1.1151029967997411e-01; 1.1918971083590324e+00; 7.7949966100609794e-02; 1.1151029967997411e-01
5; 0; 8; 1.2068280320822360e+00; 8.0127842070361222e-02; 1.2621822798395199e-01; 1.2252825847021787e+00; 1.0937117883180407e+00; 2.8662116598560650e-01
5; 0; 8; 1.2264742816684719e+00; 1.0855418389030924e+00; 2.6396333249767978e-01; 1.2512768362106175e+00; 9.1550228883098805e-01; 1.1151029967997411e-01
6; 0; 9; 8.8850338200862966e-01; 3.0245903255219386e-01; 1.1151029967997411e-01; 1.2215879946100276e+00; 8.6533173770836602e-01; 1.1151029967997411e-01
7; 0; 10; 5.7479965178245562e-01; 6.1240695251592303e-01; 7.1575364390421525e-01; 9.5065585594565793e-01; 2.2000210062591008e-01; 5.1413344001698547e-01
8; 0; 11; 4.3841028135328158e-01; 2.6145820739676751e-01; 6.2910423317185860e-01; -3.7977835138342604e-270; 6.0290410705520292e-01; 7.7528798799245791e-01
9; 0; 12; 5.8933978847238444e-01; 1.7214441415653925e-01; 3.8140905751880244e-01; 6.3791827427167658e-01; 8.9115485476284437e-02; 1.1151029967997411e-01
9; 0; 12; 6.9522801686121738e-01; 1.0948417284646009e-01; 2.0763254535100195e-01; 8.1618848810685818e-01; 1.8025560911671326e-01; 1.1151029967997411e-01
9; 0; 12; 1.1286387838138530e+00; 7.0825881466228224e-01; 1.1151029967997411e-01; 3.0930716273978247e-310; 1.1878534068598537e-311; 1.1878534253655765e-311
10; 0; 14; 7.3755394693577103e-01; 8.8744202445532305e-01; 7.1575364390421514e-01; 8.3367402300836846e-01; 1.1292112578066844e+00; 3.8507233474214042e-01
10; 0; 14; 8.5297762621737039e-01; 1.0824940807148549e+00; 7.1575364390421514e-01; 1.0553849145236902e+00; 3.7445479368834889e-01; 7.1575364390421525e-01
11; 0; 16; 4.8847307090588443e-01; 4.6652547295617119e-01; 7.1575364390421525e-01; 8.0651915972779586e-01; 5.3533136982847040e-01; 7.1575364390421525e-01
11; 0; 16; 8.9286311901234316e-01; 1.9536429853375092e-01; 4.4580508338221370e-01; -3.7866924004144242e-270; 4.5818457813280045e-01; 1.2442124665218526e-01
12; 0; 17; 1.1217250676636714e+00; 2.5874317994564316e-01; 6.2157461006425763e-01; 1.1454597495249914e+00; 5.9109463220757186e-01; 1.1151029967997411e-01
13; 0; 18; 4.5818457813280045e-01; 1.2442124665218526e-01; 2.4905773832315864e-01; 1.0554766136621185e+00; 5.8462359685147292e-01; 1.1151029967997411e-01
13; 0; 18; 1.0799234292794198e+00; 5.6215165815810209e-01; 1.1151029967997411e-01; -3.7876166599899630e-270; 6.3746374909961323e-01; 1.1330496416030125e+00
14; 0; 19; 9.1351329923270985e-01; 1.0420634688218677e-01; 1.9299547775080839e-01; 1.1536617921243464e+00; 1.0599522880010483e+00; 1.9299547775080828e-01
14; 0; 19; 1.1539317672792011e+00; 1.0606658342677420e+00; 1.9497436546180150e-01; 1.1763795362391349e+00; 1.0550254253969527e+00; 7.1575364390421514e-01
15; 0; 20; 7.6469317339667797e-01; 9.4264122966645425e-01; 7.1575364390421514e-01; 7.6928605079430745e-01; 9.4106544163948869e-01; 7.1575364390421514e-01
16; 0; 22; 6.5976535256492364e-01; 1.3046949988531006e-01; 2.6583144250279744e-01; 6.7195685384479287e-01; 1.6175983031933464e-01; 3.5260934781750491e-01
16; 0; 22; 1.0476076528679947e+00; 8.9154667853354763e-01; 1.1151029967997411e-01; 1.1044050393277927e+00; 6.6730671781097584e-01; 1.1151029967997411e-01
17; 0; 23; 6.1298319311701444e-01; 7.7959690940802318e-01; 1.1151029967997411e-01; 1.0724918774306422e+00; 6.1337733444245535e-01; 1.1151029967997411e-01
18; 0; 24; 4.8134704270383843e-01; 4.3764221358487299e-01; 1.1151029967997411e-01; 5.8014559296505952e-01; 1.1475145429606859e+00; 4.3583308811261046e-01
